Time	Node	Signal	Value	
10	56	PitUsage	0
10	56	PitEntries	0
10	monitor6	PitUsage	0
10	monitor6	PitEntries	0
10	monitor6	EntriesSatisfiedBefore	0
10	monitor6	MaliciousRequestedMulti	0
10	monitor4	PitUsage	0.1368
10	monitor4	PitEntries	684
10	monitor4	EntriesSatisfiedBefore	2473
10	monitor4	MaliciousRequestedMulti	2496
10	monitor7	PitUsage	0.015
10	monitor7	PitEntries	75
10	monitor7	EntriesSatisfiedBefore	782
10	monitor7	MaliciousRequestedMulti	840
10	45	PitUsage	0.0258
10	45	PitEntries	129
10	36	PitUsage	0.0298
10	36	PitEntries	149
10	60	PitUsage	0
10	60	PitEntries	0
10	61	PitUsage	0.2128
10	61	PitEntries	1064
10	62	PitUsage	0.1284
10	62	PitEntries	642
10	63	PitUsage	0.113
10	63	PitEntries	565
10	64	PitUsage	0.084
10	64	PitEntries	420
10	65	PitUsage	0
10	65	PitEntries	0
10	66	PitUsage	0
10	66	PitEntries	0
10	67	PitUsage	0
10	67	PitEntries	0
10	68	PitUsage	0
10	68	PitEntries	0
10	69	PitUsage	0
10	69	PitEntries	0
10	34	PitUsage	0.0152
10	34	PitEntries	76
10	24	PitUsage	0.0134
10	24	PitEntries	67
10	25	PitUsage	0.0264
10	25	PitEntries	132
10	23	PitUsage	0.0396
10	23	PitEntries	198
10	27	PitUsage	0.053
10	27	PitEntries	265
10	20	PitUsage	0.0148
10	20	PitEntries	74
10	monitor2	PitUsage	0.0618
10	monitor2	PitEntries	309
10	monitor2	EntriesSatisfiedBefore	1912
10	monitor2	MaliciousRequestedMulti	1969
10	22	PitUsage	0.0142
10	22	PitEntries	71
10	49	PitUsage	0.015
10	49	PitEntries	75
10	46	PitUsage	0.0142
10	46	PitEntries	71
10	47	PitUsage	0
10	47	PitEntries	0
10	44	PitUsage	0.0142
10	44	PitEntries	71
10	42	PitUsage	0.0146
10	42	PitEntries	73
10	28	PitUsage	0.0166
10	28	PitEntries	83
10	43	PitUsage	0.0152
10	43	PitEntries	76
10	40	PitUsage	0
10	40	PitEntries	0
10	41	PitUsage	0.0142
10	41	PitEntries	71
10	1	PitUsage	0.015
10	1	PitEntries	75
10	0	PitUsage	0.0288
10	0	PitEntries	144
10	3	PitUsage	0
10	3	PitEntries	0
10	2	PitUsage	0.0274
10	2	PitEntries	137
10	5	PitUsage	0.014
10	5	PitEntries	70
10	4	PitUsage	0.0154
10	4	PitEntries	77
10	7	PitUsage	0.0144
10	7	PitEntries	72
10	6	PitUsage	0.0818
10	6	PitEntries	409
10	monitor3	PitUsage	0.1228
10	monitor3	PitEntries	614
10	monitor3	EntriesSatisfiedBefore	2838
10	monitor3	MaliciousRequestedMulti	2869
10	8	PitUsage	0.0416
10	8	PitEntries	208
10	26	PitUsage	0.0126
10	26	PitEntries	63
10	33	PitUsage	0.0132
10	33	PitEntries	66
10	35	PitUsage	0.0134
10	35	PitEntries	67
10	13	PitUsage	0.0136
10	13	PitEntries	68
10	77	PitUsage	0.0564
10	77	PitEntries	282
10	76	PitUsage	0.091
10	76	PitEntries	455
10	75	PitUsage	0
10	75	PitEntries	0
10	12	PitUsage	0
10	12	PitEntries	0
10	73	PitUsage	0
10	73	PitEntries	0
10	72	PitUsage	0
10	72	PitEntries	0
10	71	PitUsage	0
10	71	PitEntries	0
10	70	PitUsage	0.0596
10	70	PitEntries	298
10	monitor5	PitUsage	0.0098
10	monitor5	PitEntries	49
10	monitor5	EntriesSatisfiedBefore	469
10	monitor5	MaliciousRequestedMulti	497
10	29	PitUsage	0.015
10	29	PitEntries	75
10	78	PitUsage	0
10	78	PitEntries	0
10	11	PitUsage	0.0274
10	11	PitEntries	137
10	10	PitUsage	0
10	10	PitEntries	0
10	monitor1	PitUsage	0.1852
10	monitor1	PitEntries	926
10	monitor1	EntriesSatisfiedBefore	2968
10	monitor1	MaliciousRequestedMulti	2976
10	38	PitUsage	0.1006
10	38	PitEntries	503
10	15	PitUsage	0.0512
10	15	PitEntries	256
10	14	PitUsage	0.0136
10	14	PitEntries	68
10	17	PitUsage	0.0272
10	17	PitEntries	136
10	16	PitUsage	0.0136
10	16	PitEntries	68
10	monitor0	PitUsage	0.1356
10	monitor0	PitEntries	678
10	monitor0	EntriesSatisfiedBefore	2889
10	monitor0	MaliciousRequestedMulti	2918
10	32	PitUsage	0
10	32	PitEntries	0
10	57	PitUsage	0
10	57	PitEntries	0
10	30	PitUsage	0.0286
10	30	PitEntries	143
10	37	PitUsage	0.0148
10	37	PitEntries	74
10	50	PitUsage	0.1234
10	50	PitEntries	617
10	53	PitUsage	0
10	53	PitEntries	0
10	52	PitUsage	0.0136
10	52	PitEntries	68
10	55	PitUsage	0
10	55	PitEntries	0
10	74	PitUsage	0
10	74	PitEntries	0
10	21	PitUsage	0.014
10	21	PitEntries	70
10	18	PitUsage	0.0798
10	18	PitEntries	399
10	31	PitUsage	0.0158
10	31	PitEntries	79
20	56	PitUsage	0
20	56	PitEntries	0
20	monitor6	PitUsage	0
20	monitor6	PitEntries	0
20	monitor6	EntriesSatisfiedBefore	0
20	monitor6	MaliciousRequestedMulti	0
20	monitor4	PitUsage	0.1414
20	monitor4	PitEntries	707
20	monitor4	EntriesSatisfiedBefore	2713
20	monitor4	MaliciousRequestedMulti	2464
20	monitor7	PitUsage	0.0144
20	monitor7	PitEntries	72
