Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes
10	server0	0	dev=net(0)	DropInterests	0	0
10	server0	0	dev=net(0)	OutData	6037	6719.38
10	server0	0	dev=net(0)	DropData	0	0
10	server0	2	dev=local(2)	DropInterests	0	0
10	server0	2	dev=local(2)	OutData	0	0
10	server0	2	dev=local(2)	DropData	0	0
10	server0	-1	all	SatisfiedInterests	6037	0
10	server0	-1	all	TimedOutInterests	0	0
10	server1	0	dev=net(0)	DropInterests	0	0
10	server1	0	dev=net(0)	OutData	6108	6804.36
10	server1	0	dev=net(0)	DropData	0	0
10	server1	2	dev=local(2)	DropInterests	0	0
10	server1	2	dev=local(2)	OutData	0	0
10	server1	2	dev=local(2)	DropData	0	0
10	server1	-1	all	SatisfiedInterests	6108	0
10	server1	-1	all	TimedOutInterests	0	0
10	server2	0	dev=net(0)	DropInterests	0	0
10	server2	0	dev=net(0)	OutData	6063	6748.31
10	server2	0	dev=net(0)	DropData	0	0
10	server2	2	dev=local(2)	DropInterests	0	0
10	server2	2	dev=local(2)	OutData	0	0
10	server2	2	dev=local(2)	DropData	0	0
10	server2	-1	all	SatisfiedInterests	6063	0
10	server2	-1	all	TimedOutInterests	0	0
10	client0	0	dev=net(0)	DropInterests	0	0
10	client0	0	dev=net(0)	OutData	0	0
10	client0	0	dev=net(0)	DropData	0	0
10	client0	2	dev=local(2)	DropInterests	0	0
10	client0	2	dev=local(2)	OutData	898	999.802
10	client0	2	dev=local(2)	DropData	0	0
10	client0	-1	all	SatisfiedInterests	898	0
10	client0	-1	all	TimedOutInterests	0	0
10	client1	0	dev=net(0)	DropInterests	0	0
10	client1	0	dev=net(0)	OutData	0	0
10	client1	0	dev=net(0)	DropData	1	1.11328
10	client1	2	dev=local(2)	DropInterests	0	0
10	client1	2	dev=local(2)	OutData	902	1004.24
10	client1	2	dev=local(2)	DropData	0	0
10	client1	-1	all	SatisfiedInterests	902	0
10	client1	-1	all	TimedOutInterests	0	0
10	client2	0	dev=net(0)	DropInterests	0	0
10	client2	0	dev=net(0)	OutData	0	0
10	client2	0	dev=net(0)	DropData	0	0
10	client2	2	dev=local(2)	DropInterests	0	0
10	client2	2	dev=local(2)	OutData	894	995.368
10	client2	2	dev=local(2)	DropData	0	0
10	client2	-1	all	SatisfiedInterests	894	0
10	client2	-1	all	TimedOutInterests	0	0
10	client3	0	dev=net(0)	DropInterests	0	0
10	client3	0	dev=net(0)	OutData	0	0
10	client3	0	dev=net(0)	DropData	0	0
10	client3	2	dev=local(2)	DropInterests	0	0
10	client3	2	dev=local(2)	OutData	938	1044.36
10	client3	2	dev=local(2)	DropData	0	0
10	client3	-1	all	SatisfiedInterests	938	0
10	client3	-1	all	TimedOutInterests	0	0
10	client4	0	dev=net(0)	DropInterests	0	0
10	client4	0	dev=net(0)	OutData	0	0
10	client4	0	dev=net(0)	DropData	1	1.11426
10	client4	2	dev=local(2)	DropInterests	0	0
10	client4	2	dev=local(2)	OutData	895	996.415
10	client4	2	dev=local(2)	DropData	0	0
10	client4	-1	all	SatisfiedInterests	895	0
10	client4	-1	all	TimedOutInterests	0	0
10	client5	0	dev=net(0)	DropInterests	0	0
10	client5	0	dev=net(0)	OutData	0	0
10	client5	0	dev=net(0)	DropData	0	0
10	client5	2	dev=local(2)	DropInterests	0	0
10	client5	2	dev=local(2)	OutData	880	979.766
10	client5	2	dev=local(2)	DropData	0	0
10	client5	-1	all	SatisfiedInterests	880	0
10	client5	-1	all	TimedOutInterests	0	0
10	client6	0	dev=net(0)	DropInterests	0	0
10	client6	0	dev=net(0)	OutData	0	0
10	client6	0	dev=net(0)	DropData	0	0
10	client6	2	dev=local(2)	DropInterests	0	0
10	client6	2	dev=local(2)	OutData	945	1052.1
10	client6	2	dev=local(2)	DropData	0	0
10	client6	-1	all	SatisfiedInterests	945	0
10	client6	-1	all	TimedOutInterests	0	0
10	client7	0	dev=net(0)	DropInterests	0	0
10	client7	0	dev=net(0)	OutData	0	0
10	client7	0	dev=net(0)	DropData	0	0
10	client7	2	dev=local(2)	DropInterests	0	0
10	client7	2	dev=local(2)	OutData	915	1018.75
10	client7	2	dev=local(2)	DropData	0	0
10	client7	-1	all	SatisfiedInterests	915	0
10	client7	-1	all	TimedOutInterests	0	0
10	client8	0	dev=net(0)	DropInterests	0	0
10	client8	0	dev=net(0)	OutData	0	0
10	client8	0	dev=net(0)	DropData	2	2.22461
10	client8	2	dev=local(2)	DropInterests	0	0
10	client8	2	dev=local(2)	OutData	941	1047.67
10	client8	2	dev=local(2)	DropData	0	0
10	client8	-1	all	SatisfiedInterests	941	0
10	client8	-1	all	TimedOutInterests	0	0
10	client9	0	dev=net(0)	DropInterests	0	0
10	client9	0	dev=net(0)	OutData	0	0
10	client9	0	dev=net(0)	DropData	2	2.22559
10	client9	2	dev=local(2)	DropInterests	0	0
10	client9	2	dev=local(2)	OutData	915	1018.69
10	client9	2	dev=local(2)	DropData	0	0
10	client9	-1	all	SatisfiedInterests	915	0
10	client9	-1	all	TimedOutInterests	0	0
10	client10	0	dev=net(0)	DropInterests	0	0
10	client10	0	dev=net(0)	OutData	0	0
10	client10	0	dev=net(0)	DropData	0	0
10	client10	2	dev=local(2)	DropInterests	0	0
10	client10	2	dev=local(2)	OutData	918	1022.05
10	client10	2	dev=local(2)	DropData	0	0
10	client10	-1	all	SatisfiedInterests	918	0
10	client10	-1	all	TimedOutInterests	0	0
10	client11	0	dev=net(0)	DropInterests	0	0
10	client11	0	dev=net(0)	OutData	0	0
10	client11	0	dev=net(0)	DropData	1	1.11328
10	client11	2	dev=local(2)	DropInterests	0	0
10	client11	2	dev=local(2)	OutData	910	1013.14
10	client11	2	dev=local(2)	DropData	0	0
10	client11	-1	all	SatisfiedInterests	910	0
10	client11	-1	all	TimedOutInterests	0	0
10	client12	0	dev=net(0)	DropInterests	0	0
10	client12	0	dev=net(0)	OutData	0	0
10	client12	0	dev=net(0)	DropData	1	1.11426
10	client12	2	dev=local(2)	DropInterests	0	0
10	client12	2	dev=local(2)	OutData	909	1012.01
10	client12	2	dev=local(2)	DropData	0	0
10	client12	-1	all	SatisfiedInterests	909	0
10	client12	-1	all	TimedOutInterests	0	0
10	client13	0	dev=net(0)	DropInterests	0	0
10	client13	0	dev=net(0)	OutData	0	0
10	client13	0	dev=net(0)	DropData	2	2.22656
10	client13	2	dev=local(2)	DropInterests	0	0
10	client13	2	dev=local(2)	OutData	880	979.741
10	client13	2	dev=local(2)	DropData	0	0
10	client13	-1	all	SatisfiedInterests	880	0
10	client13	-1	all	TimedOutInterests	0	0
10	client14	0	dev=net(0)	DropInterests	0	0
10	client14	0	dev=net(0)	OutData	0	0
10	client14	0	dev=net(0)	DropData	0	0
10	client14	2	dev=local(2)	DropInterests	0	0
10	client14	2	dev=local(2)	OutData	904	1006.48
10	client14	2	dev=local(2)	DropData	0	0
10	client14	-1	all	SatisfiedInterests	904	0
10	client14	-1	all	TimedOutInterests	0	0
10	client15	0	dev=net(0)	DropInterests	0	0
10	client15	0	dev=net(0)	OutData	0	0
10	client15	0	dev=net(0)	DropData	0	0
10	client15	2	dev=local(2)	DropInterests	0	0
10	client15	2	dev=local(2)	OutData	923	1027.62
10	client15	2	dev=local(2)	DropData	0	0
10	client15	-1	all	SatisfiedInterests	923	0
10	client15	-1	all	TimedOutInterests	0	0
10	client16	0	dev=net(0)	DropInterests	0	0
10	client16	0	dev=net(0)	OutData	0	0
10	client16	0	dev=net(0)	DropData	0	0
10	client16	2	dev=local(2)	DropInterests	0	0
10	client16	2	dev=local(2)	OutData	914	1017.62
10	client16	2	dev=local(2)	DropData	0	0
10	client16	-1	all	SatisfiedInterests	914	0
10	client16	-1	all	TimedOutInterests	0	0
10	client17	0	dev=net(0)	DropInterests	0	0
10	client17	0	dev=net(0)	OutData	0	0
10	client17	0	dev=net(0)	DropData	0	0
10	client17	2	dev=local(2)	DropInterests	0	0
10	client17	2	dev=local(2)	OutData	895	996.484
10	client17	2	dev=local(2)	DropData	0	0
10	client17	-1	all	SatisfiedInterests	895	0
10	client17	-1	all	TimedOutInterests	0	0
10	client18	0	dev=net(0)	DropInterests	0	0
10	client18	0	dev=net(0)	OutData	0	0
10	client18	0	dev=net(0)	DropData	2	2.22754
10	client18	2	dev=local(2)	DropInterests	0	0
10	client18	2	dev=local(2)	OutData	929	1034.31
10	client18	2	dev=local(2)	DropData	0	0
10	client18	-1	all	SatisfiedInterests	929	0
10	client18	-1	all	TimedOutInterests	0	0
10	client19	0	dev=net(0)	DropInterests	0	0
